RIAL,0.05281,-0.00196,0.00158
RIAR,0.06304,0.00029,-0.00162
RIBL,0.08510,0.00814,0.00158
RIBR,0.07453,0.00747,0.00044
RICL,0.09333,0.00846,0.00158
RICR,0.07859,0.00969,-0.00155
RID,0.07758,-0.00940,0.00097
RIFL,0.10488,0.01677,-0.00080
RIFR,0.14021,0.01827,-0.00049
RIGL,0.13030,0.01791,-0.00037
RIGR,0.13092,0.01732,-0.00007
RIH,0.05479,0.00361,-0.00172
RIML,0.07724,0.00806,0.00123
RIMR,0.07295,0.01095,-0.00106
RIPL,0.04301,0.00179,0.00189
RIPR,0.04488,-0.00178,-0.00115
RIR,0.05862,0.01016,-0.00019
RIS,0.09226,0.01746,0.00024
RIVL,0.08118,0.00053,0.00129
RIVR,0.05964,-0.00760,-0.00128
RMDDL,0.06816,0.01161,0.00083
RMDDR,0.09281,0.00601,-0.00103
RMDL,0.05755,0.00320,0.00203
RMDR,0.06038,0.00748,-0.00120
RMDVL,0.05144,0.00160,0.00191
RMDVR,0.05675,-0.00205,-0.00201
RMED,0.04432,-0.00818,-0.00006
RMEL,0.05903,0.00148,0.00141
RMER,0.04220,-0.00403,-0.00176
RMEV,0.05523,0.00876,-0.00024
RMFL,0.06662,0.01224,-0.00020
RMFR,0.07148,0.00961,-0.00027
RMGL,0.09859,0.01045,0.00227
RMGR,0.09969,0.00921,-0.00213
RMHL,0.06916,0.00607,-0.00065
RMHR,0.07225,0.01381,-0.00048
SAADL,0.06072,0.00986,0.00048
SAADR,0.05536,0.00838,-0.00062
SAAVL,0.05447,-0.00221,0.00230
SAAVR,0.05617,-0.00299,-0.00218
SABD,0.13310,0.01659,-0.00092
SABVL,0.11658,0.01629,-0.00055
SABVR,0.09545,0.01452,-0.00080
SDQL,0.56025,-0.00137,0.00298
SDQR,0.24618,-0.01273,-0.00317
SIADL,0.05744,0.00019,0.00229
SIADR,0.09529,0.01491,-0.00037
SIAVL,0.08802,0.00859,-0.00003
SIAVR,0.07724,0.00841,-0.00077
SIBDL,0.06586,0.00637,0.00123
SIBDR,0.05745,0.00426,-0.00099
SIBVL,0.07353,0.01032,0.00137
SIBVR,0.06230,0.01070,-0.00132
SMBDL,0.10409,0.01714,-0.00032
SMBDR,0.07563,0.01078,-0.00071
SMBVL,0.10715,0.01253,-0.00063
SMBVR,0.07629,0.01058,0.00014
SMDDL,0.06363,0.00949,0.00083
SMDDR,0.06006,0.00861,-0.00078
SMDVL,0.05694,-0.00648,0.00159
SMDVR,0.05639,-0.00822,-0.00207
URADL,0.03662,-0.00666,0.00100
URADR,0.04072,-0.00604,-0.00115
URAVL,0.04707,0.00587,0.00089
URAVR,0.03975,0.00695,-0.00118
URBL,0.04056,0.00177,0.00230
URBR,0.03715,-0.00529,-0.00211
URXL,0.06518,-0.00743,0.00168
URXR,0.05548,-0.00836,-0.00058
URYDL,0.04107,-0.00535,0.00108
URYDR,0.04021,-0.00813,-0.00128
URYVL,0.04216,0.00505,0.00142
URYVR,0.04632,0.00134,-0.00023
VA1,0.11192,0.01699,-0.00009
VA10,0.63437,0.01764,0.00000
VA11,0.68975,0.01491,0.00031
VA12,0.73884,0.00971,0.00012
VA2,0.15756,0.02143,-0.00071
VA3,0.21389,0.02147,-0.00040
VA4,0.27732,0.02352,-0.00062
VA5,0.33918,0.02375,-0.00079
VA6,0.40932,0.02082,-0.00101
VA7,0.46306,0.02071,-0.00150
VA8,0.50750,0.02124,-0.00062
VA9,0.57136,0.02096,-0.00010
VB1,0.11818,0.01847,-0.00082
VB10,0.58032,0.02046,-0.00008
VB11,0.64143,0.01729,0.00000
VB2,0.10561,0.01617,-0.00031
VB3,0.16709,0.02121,-0.00056
VB4,0.22162,0.02157,-0.00040
VB5,0.28994,0.02346,-0.00062
VB6,0.34447,0.02351,-0.00079
VB7,0.40977,0.02243,-0.00079
VB8,0.46860,0.02123,-0.00113
VB9,0.52446,0.02125,-0.00062
VC1,0.22812,0.01933,-0.00039
VC2,0.29666,0.02377,-0.00086
VC3,0.38498,0.02253,-0.00086
VC4,0.44169,0.01989,-0.00010
VC5,0.45585,0.01652,-0.00032
VC6,0.52986,0.01855,-0.00062
